metabolite	name	kegg	chebi
MAM00874	3-oxoheptadecanoyl-[ACP]	nan	nan
MAM00875	3-oxoheptadecanoyl-CoA	nan	nan
MAM00876	3-oxoheptanoyl-[ACP]	nan	nan
MAM00877	3-oxoheptanoyl-CoA	nan	nan
MAM00878	3-oxohexacosanoyl-CoA	nan	nan
MAM00879	3-oxo-hexacosenoyl-CoA	nan	nan
MAM00880	3-oxohexadecanoyl-[ACP]	C05762	nan
MAM00881	3-oxohexanoyl-[ACP]	C05746	nan
MAM00882	3-oxohexanoyl-CoA	C05269	CHEBI:27648
MAM00883	3-oxolaur-6-cis-enoyl-CoA	nan	nan
MAM00884	3-oxolinoleoyl-CoA	nan	nan
MAM00885	3-oxomyrist-5-enoyl-CoA	nan	nan
MAM00886	3-oxomyrist-7-enoyl-CoA	nan	nan
MAM00887	3-oxononadecanoyl-CoA	nan	nan
MAM00888	3-oxononanoyl-[ACP]	nan	nan
MAM00889	3-oxononanoyl-CoA	nan	nan
MAM00890	3-oxooctadecanoyl-CoA	C16216	CHEBI:50571
MAM00891	3-oxooctanoyl-[ACP]	C05750	nan
MAM00892	3-oxooctanoyl-CoA	C05267	CHEBI:28264
MAM00893	3-oxooleoyl-CoA	nan	nan
MAM00894	3-oxopalmitoleoyl-CoA	nan	nan
MAM00895	3-oxopalmitoyl-CoA	C05259	CHEBI:15491
MAM00896	3-oxopentadecanoyl-[ACP]	nan	nan
MAM00897	3-oxopentadecanoyl-CoA	nan	nan
MAM00898	3-oxopentanoyl-[ACP]	nan	nan
MAM00899	3-oxopentanoyl-CoA	nan	nan
MAM00900	3-oxopropanoate	C00222	CHEBI:17960
MAM00901	3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	nan	nan
MAM00902	3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	nan	nan
MAM00903	3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	nan	nan
MAM00904	3-oxotetracosanoyl-CoA	nan	nan
MAM00905	3-oxotetradecanoyl-[ACP]	C05759	nan
MAM00906	3-oxotetradecanoyl-CoA	C05261	CHEBI:28726
MAM00907	3-oxotricosanoyl-CoA	nan	nan
MAM00908	3-oxotridecanoyl-[ACP]	nan	nan
MAM00909	3-oxotridecanoyl-CoA	nan	nan
MAM00910	3-oxoundecanoyl-[ACP]	nan	nan
MAM00911	3-oxoundecanoyl-CoA	nan	nan
MAM00912	3-phosphoadenylylselenate	C05696	nan
MAM00913	3-phospho-D-glycerate	C00197	CHEBI:17794
MAM00914	3-phosphonooxypyruvate	C03232	CHEBI:30933
MAM00915	3-phosphopolynucleotide	C03463	CHEBI:1359
MAM00916	3-phosphoserine	C01005	CHEBI:15811
MAM00917	3-succinoylpyridine	C19569	nan
MAM00918	3-sulfinoalanine	C00606	CHEBI:16345
MAM00919	3-sulfinylpyruvic acid	C05527	nan
MAM00920	3-sulfopyruvate	C05528	CHEBI:16894
MAM00921	3-UMP	C01368	CHEBI:28895
MAM00922	3-ureidoisobutyrate	C05100	CHEBI:1670
MAM00923	3-ureidopropionate	C02642	CHEBI:18261
MAM00924	4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate	C05645	nan
MAM00925	4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside	nan	nan
MAM00926	4-(2-aminophenyl)-2,4-dioxobutanoate	C01252	CHEBI:17442
MAM00927	4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone	C19602	nan
MAM00928	4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide	C19605	nan
MAM00929	4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol	C19574	nan
MAM00930	4-(methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol	C19603	nan
MAM00931	4-(nitrosoamino)-1-(3-pyridinyl)-1-butanone	C19564	nan
MAM00932	4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone	C16453	nan
MAM00933	4(R),8-dimethyl-nonanoyl-CoA	nan	nan
MAM00934	4(R),8-dimethyl-trans-2-nonenoyl-CoA	nan	nan
MAM00935	4(R)-hydroxy-dodec-(6Z)-enoate	nan	nan
MAM00936	4(S)-hydroxy-dodec-(6Z)-enoate	nan	nan
MAM00937	4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol	nan	nan
MAM00938	4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00939	4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol	nan	nan
MAM00940	4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00941	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	C11455	CHEBI:17813
MAM00942	4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol	nan	nan
MAM00943	4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol	C15915	nan
MAM00944	4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene	C14855	nan
MAM00945	4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline	nan	nan
MAM00946	4,6-dideoxy-4-oxo-dTDP-D-glucose	C11907	CHEBI:16620
MAM00947	4,6-dihydroxyquinoline	C05639	CHEBI:28799
MAM00948	4,8,12-trimethyltridecanoyl-CoA	C07296	CHEBI:15495
MAM00949	4,8-dihydroxyquinoline	C05637	CHEBI:28883
MAM00950	4,8-dimethylnonanoylcarnitine	nan	nan
MAM00951	4-[(hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone	C19563	nan
MAM00952	4-acetamidobutanoate	C02946	CHEBI:17645
MAM00953	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	C15808	nan
MAM00954	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00955	4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol	nan	nan
MAM00956	4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00957	4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	nan	nan
MAM00958	4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00959	4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol	nan	nan
MAM00960	4alpha-formyl-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00961	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	nan	nan
MAM00962	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00963	4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol	nan	nan
MAM00964	4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol	nan	nan
MAM00965	4alpha-hydroxytetrahydrobiopterin	C15522	CHEBI:15374
MAM00966	4alpha-methyl-5alpha-cholesta-8-en-3-one	nan	nan
MAM00967	4alpha-methyl-cholesta-8-enol	nan	nan
MAM00968	4alpha-methylzymosterol	C05103	nan
MAM00969	4-aminobutanal	C00555	CHEBI:17769
MAM00970	4-aminobutyrate	C00334	CHEBI:16865
MAM00971	4-androstene-3,17-dione	C00280	CHEBI:16422
MAM00972	4-bromo-3,5-cyclohexadiene-1,2-dione	C14846	nan
MAM00973	4-bromocatechol	C14843	nan
MAM00974	4-bromophenol	C14453	nan
MAM00975	4-bromophenol-2,3-epoxide	C14845	nan
MAM00976	4-cholesten-7alpha,12alpha,24(S)-triol-3-one	nan	CHEBI:48714
MAM00977	4-cholesten-7alpha,12alpha,27-triol-3-one	nan	nan
MAM00978	4-cholesten-7alpha,24(S)-diol-3-one	nan	nan
MAM00979	4-cholesten-7alpha,27-diol-3-one	nan	nan
MAM00980	4-cis-decenoyl-CoA	nan	nan
MAM00981	4-coumarate	C00811	CHEBI:32373
MAM00982	4-coumaroyl-CoA	C00223	CHEBI:15499
MAM00983	4-hydroperoxy-2-nonenal	nan	nan
MAM00984	4-hydroperoxy-H4-neuroprostane	nan	nan
MAM00985	4-hydroxy-1-(3-pyridinyl)-1-butanone	C19565	nan
MAM00986	4-hydroxy-17beta-estradiol	C14209	nan
MAM00987	4-hydroxy-17beta-estradiol-2-S-glutathione	nan	nan
MAM00988	4-hydroxy-2-nonenal	nan	CHEBI:58968
MAM00989	4-hydroxy-2-oxoglutarate	C01127	CHEBI:30923
MAM00990	4-hydroxy-2-quinolinecarboxylic acid	C01717	CHEBI:18344
MAM00991	4-hydroxy-3-nitrophenylacetate	nan	nan
MAM00992	4-hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone	C19566	nan
MAM00993	4-hydroxy-all-trans-retinoate	C16677	CHEBI:63795
MAM00994	4-hydroxy-all-trans-retinyl-acetate	nan	nan
MAM00995	4-hydroxybenzoate	C00156	CHEBI:30763
MAM00996	4-hydroxybenzoyl-CoA	C02949	nan
MAM00997	4-hydroxy-D4-neuroprostane	nan	nan
MAM00998	4-hydroxy-debrisoquine	nan	CHEBI:63800
MAM00999	4-hydroxy-E4-neuroprostane	nan	nan
MAM01000	4-hydroxyestrone	nan	nan
MAM01001	4-hydroxyestrone-2-S-glutathione	nan	nan
MAM01002	4-hydroxyphenylacetaldehyde	C03765	CHEBI:15621
MAM01003	4-hydroxyphenylacetate	C00642	CHEBI:18101
MAM01004	4-hydroxyphenyllactate	C03672	CHEBI:17385
MAM01005	4-hydroxyphenylpyruvate	C01179	CHEBI:15999
MAM01006	4-hydroxyretinoic acid	C16677	CHEBI:63795
MAM01007	4-hydroxy-tolbutamide	nan	CHEBI:63799
MAM01008	4-hydroxyvitamin A1	nan	nan
MAM01009	4-imidazolone-5-propanoate	C03680	nan
MAM01010	4-maleylacetoacetate	C01036	CHEBI:47904
MAM01011	4-methoxy-17beta-estradiol	nan	nan
MAM01012	4-methoxyestrone	nan	nan
MAM01013	4-methyl-2-oxopentanoate	C00233	CHEBI:48430
MAM01014	4-methylpentan-1-ol	nan	nan
MAM01015	4-methyl-pentanoyl-CoA	nan	nan
MAM01016	4-methylthio-2-oxobutanoic acid	C01180	CHEBI:33574
MAM01017	4-methyl-trans-2-pentenoyl-CoA	nan	nan
MAM01018	4-N-(n-acetyl-D-glucosaminyl)-protein	C04375	nan
MAM01019	4-nitrocatechol	C02235	CHEBI:16318
MAM01020	4-nitrophenyl-phosphate	C03360	CHEBI:17440
MAM01021	4-nitrophenyl-sulfate	nan	CHEBI:35422
MAM01022	4-OH-13-cis-retinal	nan	nan
MAM01023	4-OH-9-cis-retinal	nan	nan
MAM01024	4-OH-retinal	nan	nan
MAM01025	4-oxo-1-(3-pyridyl)-1-butanone	C19567	nan
MAM01026	4-oxo-13-cis-retinoate	nan	nan
MAM01027	4-oxo-2-nonenal	nan	CHEBI:58972
MAM01028	4-oxo-9-cis-retinal	nan	nan
MAM01029	4-oxo-9-cis-retinoate	nan	nan
MAM01030	4-oxo-9-cis-retinoyl-beta-glucuronide	nan	nan
MAM01031	4-oxo-all-trans-retinoate	nan	nan
MAM01032	4-oxoretinol	C16683	nan
MAM01033	4-pyridoxate	C00847	CHEBI:17405
MAM01034	4-trimethylammoniobutanal	C01149	CHEBI:18020
MAM01035	5-(3-pyridyl)-2-hydroxytetrahydrofuran	C19578	nan
MAM01036	5-(D-galactosyloxy)-L-lysine-procollagen	C04487	nan
MAM01037	5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA	nan	nan
MAM01038	5(S),6(S)-epoxy-15(R)-HEPE	nan	nan
MAM01039	5(S)-HEPE	nan	nan
MAM01040	5(S)-HETE	C04805	CHEBI:28209
MAM01041	5(S)-HpEPE	nan	nan
MAM01042	5(S)-HPETE	nan	CHEBI:15632
MAM01043	5-(S-L-cysteinyl)-dopaquinone	nan	nan
MAM01044	5,10-methenyl-THF	C00445	CHEBI:15638
MAM01045	5,10-methylene-THF	C00143	CHEBI:1989
MAM01046	5,12,18R-TriHEPE	nan	nan
MAM01047	5,12,20-TriHETE	nan	nan
MAM01048	5,12-DiHETE	nan	nan
MAM01049	5,12-dihydroxy-(6E)-LTB5	nan	nan
MAM01050	5,15-DiHETE	nan	nan
MAM01051	5,6-DHET	nan	nan
MAM01052	5,6-Dihydrouracil	C00429	CHEBI:15901
MAM01053	5,6-dihydroxyindole-2-carboxylate	C04185	CHEBI:2003
MAM01054	5,6-EET	C14768	CHEBI:34450
MAM01055	5,6-epoxy-(8Z)-tetradecenoic acid	nan	nan
MAM01056	5,6-epoxy,(18R)-HEPE	nan	nan
MAM01057	5,6-epoxy-13-cis-retinoate	nan	nan
MAM01058	5,6-epoxytetraene	nan	nan
MAM01059	5,6-indolequinone-2-carboxylate	C17938	nan
MAM01060	5,8-epoxy-13-cis-retinoate	nan	nan
MAM01061	5,9,11-trihydroxyprosta-(6E,14Z)-dien-1-oate	nan	nan
MAM01062	5,9-cyclo-6,8,12-trihydroxy-(10E,14Z)-eicosadienoic acid	nan	nan
MAM01063	5,9-cyclo-6,8-cycloperoxy-12-hydroperoxy-(10E,14Z)-eicosadienoate	nan	nan
MAM01064	5alpha-androstane-3,17-dione	C00674	CHEBI:15994
MAM01065	5alpha-androstane-3alpha,17beta-diol	nan	CHEBI:36713
MAM01066	5alpha-cholesta-7,24-dien-3beta-ol	C05439	CHEBI:16290
MAM01067	5alpha-cholesta-8,24-dien-3-one	nan	CHEBI:52386
MAM01068	5alpha-cholesta-8-en-3-one	nan	nan
MAM01069	5-alpha-dihydrotestosterone	C03917	CHEBI:16330
MAM01070	5alpha-dihydrotestosterone-glucuronide	nan	nan
MAM01071	5alpha-dihydrotestosterone-sulfate	nan	nan
MAM01072	5alpha-pregnane-3,20-dione	C03681	CHEBI:28952
MAM01073	5-amino-2-oxopentanoic acid	C01110	CHEBI:49268
MAM01074	5-aminolevulinate	C00430	CHEBI:17549
MAM01075	5-androstene-3,17-dione	nan	nan
MAM01076	5beta-cholestan-3alpha,7alpha,12alpha,24(S),27-pentol	nan	nan
MAM01077	5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol	nan	nan
MAM01078	5beta-cholestan-3alpha,7alpha,12alpha-triol	C05454	CHEBI:16496
MAM01079	5beta-cholestan-3alpha,7alpha,24(S),27-tetrol	nan	nan
MAM01080	5beta-cholestan-3alpha,7alpha,24(S)-triol	nan	nan
MAM01081	5beta-cholestan-7alpha,12alpha,24(S)-triol-3-one	nan	nan
MAM01082	5beta-cholestan-7alpha,12alpha,27-triol-3-one	nan	nan
MAM01083	5beta-cholestan-7alpha,24(S)-diol-3-one	nan	nan
MAM01084	5beta-cholestan-7alpha,27-diol-3-one	nan	nan
MAM01085	5beta-cholestane-3alpha,7alpha,12alpha,23,25-pentol	nan	nan
MAM01086	5beta-cholestane-3alpha,7alpha,12alpha,24r,25-pentol	nan	nan
MAM01087	5beta-cholestane-3alpha,7alpha,12alpha,24s,25-pentol	nan	nan
MAM01088	5beta-cholestane-3alpha,7alpha,12alpha,25,27-pentol	nan	nan
MAM01089	5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol	nan	nan
MAM01090	5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol	C05446	CHEBI:17278
MAM01091	5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol	nan	nan
MAM01092	5beta-cholestane-3alpha,7alpha,12alpha,27-tetraol	C05446	CHEBI:17278
MAM01093	5beta-cholestane-3alpha,7alpha,26-triol	C05444	CHEBI:28540
MAM01094	5beta-cholestane-3alpha,7alpha,27-triol	nan	nan
MAM01095	5beta-cholestane-3alpha,7alpha-diol	C05452	CHEBI:28047
MAM01096	5-carboxy-alpha-chromanol	nan	nan
MAM01097	5-carboxy-gamma-chromanol	nan	nan
MAM01098	5-deoxyadenosine	C05198	nan
MAM01099	5-formiminotetrahydrofolate	C00664	CHEBI:15639
MAM01100	5-formyl-THF	C03479	CHEBI:209153
MAM01101	5-guanidino-2-oxopentanoate	C03771	CHEBI:58489
MAM01102	5-hydroxyindoleacetaldehyde	C05634	CHEBI:50157
MAM01103	5-hydroxyindoleacetate	C05635	CHEBI:27823
MAM01104	5-hydroxyisourate	C11821	CHEBI:18072
MAM01105	5-hydroxykynurenamine	C05638	CHEBI:28715
MAM01106	5-hydroxykynurenine	C05651	nan
MAM01107	5-hydroxy-L-tryptophan	C01017	CHEBI:28171
MAM01108	5-hydroxy-N-formylkynurenine	C05648	nan
MAM01109	5-hydroxy-omeprazole	nan	nan
MAM01110	5-hydroxytryptophol	nan	nan
MAM01111	5-L-gamma-glutamyl	nan	nan
MAM01112	5-methoxyindoleacetate	C05660	nan
MAM01113	5-methoxytryptophol	nan	CHEBI:114833
MAM01114	5-methyltetrahydropteroyltri-L-glutamate	C04489	CHEBI:17614
MAM01115	5-methyl-THF	C00440	CHEBI:15641
MAM01116	5-methylthioadenosine	C00170	CHEBI:17509
MAM01117	5-nitro-gamma-tocopherol	nan	nan
MAM01118	5-oxo-(6E)-12-epi-LTB4	nan	nan
MAM01119	5-oxo-12(R)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA	nan	nan
MAM01120	5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA	nan	nan
MAM01121	5-oxo-12(S)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA	nan	nan
MAM01122	5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA	nan	nan
MAM01123	5-oxo-12-HETE	nan	nan
MAM01124	5-oxo-6-trans-LTB4	nan	nan
MAM01125	5-oxo-EPE	nan	nan
MAM01126	5-oxo-ETE	nan	nan
MAM01127	5-oxoproline	C01879	CHEBI:18183
MAM01128	5-oxoprolyl-peptide	C02805	nan
MAM01129	5-phosphopolynucleotide	C03475	nan
MAM01130	5-phosphoribosyl-4-carboxy-5-aminoimidazole	C04751	CHEBI:28413
MAM01131	5-phosphoribosylamine	C03090	CHEBI:37737
MAM01132	5-phosphoribosylformylglycinamidine	C04640	CHEBI:18413
MAM01133	5-pp-inspP5	C11526	CHEBI:30164
MAM01134	5-S-cysteinyldopa	C17935	nan
MAM01135	5-S-glutathionyl-adrenochrome hydroquinone	nan	nan
MAM01136	5-S-glutathionyl-aminochrome reduced	nan	nan
MAM01137	5-S-glutathionyl-dopachrome hydroquinone	nan	nan
MAM01138	5-S-glutathionyl-dopamine	nan	nan
MAM01139	5-S-glutathionyl-L-dopa	nan	nan
MAM01140	5-S-glutathionyl-noradrenochrome hydroquinone	nan	nan
MAM01141	5-tetradecenoyl-CoA	nan	CHEBI:84650
MAM01142	6-(alpha-D-glucosaminyl)-1D-myo-inositol	C15658	G12396
MAM01143	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol	C04248	CHEBI:17049
MAM01144	6(R)-hydroxy-tetradeca-(2E,4E,8Z)-trienoate	nan	nan
MAM01145	6(R)-hydroxy-tetradeca-(2E,8Z)-dienoate	nan	nan
MAM01146	6(R)-hydroxy-tetradeca-(4E,8Z)-dienoate	nan	nan
MAM01147	6(S)-hydroxy-tetradeca-(2E,4E,8Z)-trienoate	nan	nan
MAM01148	6(S)-hydroxy-tetradeca-(2E,8Z)-dienoate	nan	nan
MAM01149	6(S)-hydroxy-tetradeca-(4E,8Z)-dienoate	nan	nan
MAM01150	6,7-dihydro-12-epi-LTB4	nan	nan
MAM01151	6,7-dihydro-5-oxo-12-epi-LTB4	nan	nan
MAM01152	6,7-dihydro-5-oxo-LTB4	nan	nan
MAM01153	6,7-dihydro-LTB4	nan	nan
MAM01154	6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline	nan	CHEBI:110006
MAM01155	6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin	C04895	CHEBI:18372
MAM01156	6-[2,3-dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione	C19590	nan
MAM01157	6-amino-2-oxohexanoate	C03239	CHEBI:17534
MAM01158	6beta-hydroxytestosterone	C14497	CHEBI:34477
MAM01159	6-deoxy-L-galactose	C01019	CHEBI:2181
MAM01160	6-hydroxy-1,2,3,4-tetrahydro-beta-carboline	nan	nan
MAM01161	6-hydroxymelatonin	C05643	CHEBI:308079
MAM01162	6-hydroxymelatonin-sulfate	nan	nan
MAM01163	6-hydroxypaclitaxel	nan	CHEBI:63859
MAM01164	6-lactoyl-5,6,7,8-tetrahydropterin	C04244	CHEBI:17248
MAM01165	6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol	nan	nan
MAM01166	6-methylmercaptopurine	C16614	nan
MAM01167	6-oxo-prostaglandin E1	C05962	CHEBI:28269
MAM01168	6-oxo-prostaglandin F1alpha	C05961	CHEBI:28158
MAM01169	6-phospho-D-gluconate	C00345	CHEBI:48928
MAM01170	6-pyruvoyltetrahydropterin	C03684	CHEBI:17804
MAM01171	6-trans-12-epi-LTB4	nan	CHEBI:63982
MAM01172	6-trans-LTB4	nan	CHEBI:63981
MAM01173	7,12-dimethylbenz[a]anthracene 5,6-oxide	C19604	nan
MAM01174	7,12-dimethylbenz[a]anthracene	C19488	nan
MAM01175	7,8-dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene	C14856	nan
MAM01176	7,8-epoxy-(4Z,10Z)-hexadecadienoic acid	nan	nan
MAM01177	7alpha,12alpha-dihydroxy-5beta-cholestan-3-one	C05453	CHEBI:2288
MAM01178	7alpha,12alpha-dihydroxycholest-4-en-3-one	C05457	CHEBI:28477
MAM01179	7alpha,25-dihydroxy-4-cholesten-3-one	nan	nan
MAM01180	7alpha-hydroxy-3-oxo-4-cholestenoic acid	nan	nan
MAM01181	7alpha-hydroxy-5beta-cholestan-3-one	C05451	CHEBI:2290
MAM01182	7alpha-hydroxycholest-4-en-3-one	C05455	CHEBI:17899
MAM01183	7alpha-hydroxycholesterol	C03594	CHEBI:17500
MAM01184	7alpha-hydroxypregnenolone	C18038	nan
MAM01185	7-carboxy-alpha-chromanol	nan	nan
MAM01186	7-carboxy-alpha-tocotrienol	nan	nan
MAM01187	7-carboxy-gamma-chromanol	nan	nan
MAM01188	7-carboxy-gamma-tocotrienol	nan	nan
MAM01189	7-dehydrodesmosterol	C05107	CHEBI:27910
MAM01190	7-HETE	nan	nan
MAM01191	7-hexadecenoyl-CoA	nan	CHEBI:87698
MAM01192	7-hydroperoxy-H4-neuroprostane	nan	nan
MAM01193	7-hydroxy-D4-neuroprostane	nan	nan
MAM01194	7-hydroxy-E4-neuroprostane	nan	nan
MAM01195	7-hydroxymethyl-12-methylbenz[a]anthracene sulfate	C19562	nan
MAM01196	7-hydroxymethyl-12-methylbenz[a]anthracene	C19561	nan
MAM01197	7-palmitoleic acid	nan	nan
MAM01198	7-peroxy-docosahexaenoate	nan	nan
MAM01199	8(R)-hydroxy-hexadeca-(2E,4E,6E,10Z)-tetraenoate	nan	nan
MAM01200	8(R)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate	nan	nan
MAM01201	8(R)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate	nan	nan
MAM01202	8(S)-HETE	nan	nan
MAM01203	8(S)-HPETE	nan	nan
MAM01204	8(S)-hydroxy-hexadeca-(2E,4E,6E,10Z)-tetraenoate	nan	nan
MAM01205	8(S)-hydroxy-hexadeca-(2E,6E,10Z)-trienoate	nan	nan
MAM01206	8(S)-hydroxy-hexadeca-(4E,6E,10Z)-trienoate	nan	nan
MAM01207	8,11-eicosadienoic acid	nan	nan
MAM01208	8,9-DHET	nan	nan
MAM01209	8,9-EET	C14769	CHEBI:34490
MAM01210	8,9-epoxy-(5Z)-tetradecenoic acid	nan	nan
MAM01211	8alpha-hydroxy-gamma-tocopherone	nan	nan
MAM01212	8alpha-hydroxytocopherone	nan	nan
MAM01213	8-HETE	nan	nan
MAM01214	8-peroxy-(5Z,9E,11Z,14Z)-eicosatetraenoate	nan	nan
MAM01215	8-peroxy-docosahexaenoate	nan	nan
MAM01216	9(10)-EpOME	C14825	nan
MAM01217	9(S)-HPODE	C14827	CHEBI:34498
MAM01218	9,10-12,13-diepoxy-octadecanoate	nan	nan
MAM01219	9,10-epoxy-(6Z,12Z)-octadecadienoic acid	nan	nan
MAM01220	9,10-hydroxyoctadec-12(Z)-enoate	C14828	nan
MAM01221	9,11,15-trihydroxyprosta-(5Z,13E)-dien-1-oate	nan	nan
MAM01222	9,11-cycloperoxy-15-hydroperoxy-(5Z,13E)-eicosadienoate	nan	nan
MAM01223	9,11-cycloperoxy-5-hydroperoxy-(6E,14Z)-eicosadienoate	nan	nan
MAM01224	9,13-cis-retinoate	nan	nan
MAM01225	9-carboxy-alpha-chromanol	nan	nan
MAM01226	9-carboxy-alpha-tocotrienol	nan	nan
MAM01227	9-carboxy-gamma-chromanol	nan	nan
MAM01228	9-carboxy-gamma-tocotrienol	nan	nan
MAM01229	9-cis-4-oxo-13,14-dihydro-retinoate	nan	nan
MAM01230	9-cis-retinal	nan	nan
MAM01231	9-cis-retinoate	nan	nan
MAM01232	9-cis-retinol	nan	nan
MAM01233	9-cis-retinoyl-beta-D-glucuronide	nan	nan
MAM01234	9-deoxy-delta12-PGD2	nan	nan
MAM01235	9-eicosenoic acid	nan	CHEBI:32419
MAM01236	9-eicosenoyl-CoA	nan	nan
MAM01237	9-heptadecenoyl-CoA	nan	nan
MAM01238	9-heptadecylenic acid	C16536	nan
MAM01239	9-HETE	nan	nan
MAM01240	9-hydroxy-10-O-D-glucuronoside-(12Z)-octadecenoate	nan	nan
MAM01241	9-hydroxybenzo[a]pyrene	C14556	nan
MAM01242	9-hydroxybenzo[a]pyrene-4,5-oxide	C14854	nan
MAM01243	9-hydroxyoctadecadienoate	nan	nan
MAM01244	9-O-acetylated-GD3	nan	nan
MAM01245	9-O-acetylated-GT3	nan	nan
MAM01246	9-peroxy-(5Z,7E,11Z,14Z)-eicosatetraenoate	nan	nan
MAM01247	A2PE	nan	CHEBI:71980
MAM01248	A2PE-H2	nan	nan
MAM01249	acetaldehyde	C00084	CHEBI:15343
MAM01250	acetamidopropanal	nan	nan
MAM01251	acetanilide	C07565	CHEBI:28884
MAM01252	acetate	C00033	CHEBI:15366
MAM01253	acetoacetate	C00164	CHEBI:15344
MAM01254	acetoacetyl-[ACP]	C05744	nan
MAM01255	acetoacetyl-CoA	C00332	CHEBI:15345
MAM01256	acetone	C00207	CHEBI:15347
MAM01257	acetyl adenylate	C05993	CHEBI:37666
MAM01258	acetyl-[ACP]	C03939	nan
MAM01259	acetylcarnosine	nan	nan
MAM01260	acetylcholine	C01996	CHEBI:15355
MAM01261	acetyl-CoA	C00024	CHEBI:15351
MAM01262	acgalfuc12gal14acglcgalgluside heparan sulfate	nan	nan
MAM01263	acgalfucgalacglcgal14acglcgalgluside heparan sulfate	nan	nan
MAM01264	acngalacglcgalgluside heparan sulfate	nan	nan
MAM01265	acrylyl-CoA	C00894	CHEBI:15513
MAM01266	activated methyl group	C10905	nan
MAM01267	activated sulphur	nan	nan
MAM01268	activation-ppara	nan	nan
MAM01269	acyl-CoA-bile-PC pool	nan	nan
MAM01270	acyl-CoA-CL pool (liver tissue)	nan	nan
MAM01271	acyl-CoA-LD-PC pool (liver tissue)	nan	nan
MAM01272	acyl-CoA-LD-PE pool (liver tissue)	nan	nan
MAM01273	acyl-CoA-LD-PI pool (liver tissue)	nan	nan
MAM01274	acyl-CoA-LD-PS pool (liver tissue)	nan	nan
MAM01275	acyl-CoA-LD-SM pool (liver tissue)	nan	nan
